Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[8.9, 12.52, 14.66, 6.47, 24.69, 9.92, 139.41, 8.65, 88.44, 13.72, 19.99, 474.44]","[6.56, 6.86, 5.91, 6.86, 9.21, 9.17, 8.44, 7.58, 10.9, 12.44, 7.75, 7.81]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.6, 6.51, 7.14, 5.84, 6.83, 7.1, 6.36, 13.87, 9.38, 6.32, 11.9, 9.27]","[4.33, 4.39, 9.72, 6.26, 8.07, 5.9, 8.22, 8.14, 8.46, 7.97, 7.8, 5.86]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[8.27, 7.84, 8.48, 9.07, 8.5, 11.74, 7.74, 8.56, 88.38, 6.4, 16.35, 377.31]","[9.91, 5.95, 10.69, 7.63, 6.46, 6.06, 7.68, 6.69, 16.01, 7.73, 8.36, 7.43]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[8.42, 8.37, 10.93, 44.62, 12.79, 10.73, 20.52, 21.06, 72.4, 18.68, 22.25, 7.98]","[7.64, 7.59, 7.84, 12.25, 7.81, 11.55, 13.33, 7.29, 8.61, 7.9, 9.1, 6.75]"
LLM选择,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.85, 23.46, 6.47, 9.94, 11.85, 7.38, 14.68, 9.0, 7.01, 7.68, 7.87, 12.66]","[8.27, 6.73, 5.28, 7.6, 9.07, 5.55, 7.27, 5.57, 9.54, 6.82, 7.01, 9.46]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
