Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[9.92, 9.05, 23.6, 26.92, 10.69]","[8.35, 9.44, 10.85, 7.88, 6.03]"
LLM选择,"[1, 1, 1, 0, 1]","[0, 0, 0, 1, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[13.25, 17.62, 14.99, 18.6, 25.6, 19.14, 22.07, 10.45, 59.15, 10.25, 20.21, 6.78]","[8.66, 7.27, 7.69, 12.05, 11.91, 8.2, 8.88, 10.2, 10.03, 11.04, 17.99, 9.75]"
LLM选择,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[10.26, 10.58, 18.73, 9.68, 13.53, 10.44, 11.86, 11.81, 8.98, 10.7, 8.55, 13.41]","[6.89, 6.24, 5.26, 7.5, 8.2, 6.22, 9.03, 5.82, 8.55, 6.73, 6.42, 7.92]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[21.68, 12.36, 14.99, 20.58, 19.4, 20.41, 10.06, 10.36, 7.01, 9.12, 17.88, 10.99]","[7.42, 6.5, 4.4, 6.94, 9.49, 11.63, 5.42, 7.79, 10.59, 6.89, 13.9, 5.98]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[8.66, 10.55, 7.24, 7.76, 17.34, 7.39, 7.62, 21.83, 9.19, 4.1, 5.26, 6.9]","[9.96, 9.39, 6.56, 9.26, 8.75, 4.93, 6.49, 6.18, 7.43, 9.59, 7.08, 7.62]"
LLM选择,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[11.6, 8.99, 12.75, 9.71, 4.6, 7.03, 15.99, 4.61, 7.19, 11.4, 7.4, 9.9]","[4.94, 4.59, 4.24, 6.03, 4.82, 4.9, 6.37, 4.99, 7.06, 7.49, 5.0, 5.16]"
LLM选择,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.29, 13.26, 12.33, 7.85, 8.17, 8.51, 13.49, 7.53, 15.97, 10.02, 7.73, 7.77]","[6.33, 6.87, 6.68, 7.71, 9.57, 11.88, 7.83, 8.99, 10.11, 6.03, 6.3, 6.97]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[14.26, 13.6, 6.86, 22.65, 11.34, 10.7, 9.69, 10.99, 13.65, 5.32, 11.4, 6.63]","[8.42, 24.18, 5.48, 9.67, 9.94, 7.21, 7.08, 8.88, 7.79, 5.09, 10.03, 10.4]"
LLM选择,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.97, 4.53, 8.61, 9.13, 15.87, 9.33, 4.15, 5.29, 13.51, 7.83, 5.69, 4.51]","[4.8, 3.65, 5.19, 5.86, 5.48, 9.25, 4.27, 5.9, 6.91, 8.95, 7.1, 5.67]"
LLM选择,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
